year,region,substance,study,mean,sd,citation
2014,China,HFC-227ea,"Yao et al., 2019",1,0.25,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-227ea,"Yao et al., 2019",1.2,0.3,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-227ea,"Yao et al., 2019",1.1,0.2,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-227ea,"Yao et al., 2019",1.4,0.1,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2011,China,HFC-227ea,"Fang et al., 2026",0.4,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2012,China,HFC-227ea,"Fang et al., 2026",0.5,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2013,China,HFC-227ea,"Fang et al., 2026",0.7,0.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2014,China,HFC-227ea,"Fang et al., 2026",1,0.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2015,China,HFC-227ea,"Fang et al., 2026",1.2,0.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2016,China,HFC-227ea,"Fang et al., 2026",1.1,0.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2017,China,HFC-227ea,"Fang et al., 2026",1.4,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2018,China,HFC-227ea,"Fang et al., 2026",2.1,0.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2019,China,HFC-227ea,"Fang et al., 2026",1.7,0.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2020,China,HFC-227ea,"Fang et al., 2026",1.6,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2021,China,HFC-227ea,"Fang et al., 2026",1.5,0.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2011,China,HFC-236fa,"Yao et al., 2019",0.09,0.03,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-236fa,"Yao et al., 2019",0.12,0.045,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-236fa,"Yao et al., 2019",0.12,0.045,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-236fa,"Yao et al., 2019",0.08,0.035,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-236fa,"Yao et al., 2019",0.13,0.05,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-236fa,"Yao et al., 2019",0.1,0.03,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-236fa,"Yao et al., 2019",0.13,0.01,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2011,China,HFC-236fa,"Fang et al., 2026",0.1,0,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2012,China,HFC-236fa,"Fang et al., 2026",0.1,0,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2013,China,HFC-236fa,"Fang et al., 2026",0.1,0,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2014,China,HFC-236fa,"Fang et al., 2026",0.1,0,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2015,China,HFC-236fa,"Fang et al., 2026",0.1,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2016,China,HFC-236fa,"Fang et al., 2026",0.1,0,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2017,China,HFC-236fa,"Fang et al., 2026",0.1,0,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2018,China,HFC-236fa,"Fang et al., 2026",0.1,0,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2019,China,HFC-236fa,"Fang et al., 2026",0.1,0,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2020,China,HFC-236fa,"Fang et al., 2026",0.1,0,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2021,China,HFC-236fa,"Fang et al., 2026",0.2,0,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2011,China,HFC-245fa,"Yao et al., 2019",0.7,0.2,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-245fa,"Yao et al., 2019",0.7,0.35,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-245fa,"Yao et al., 2019",0.7,0.3,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-245fa,"Yao et al., 2019",0.8,0.3,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-245fa,"Yao et al., 2019",1.6,0.45,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-245fa,"Yao et al., 2019",1.2,0.3,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-245fa,"Yao et al., 2019",1.3,0.15,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2011,China,HFC-245fa,"Fang et al., 2026",0.7,0.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2012,China,HFC-245fa,"Fang et al., 2026",0.7,0.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2013,China,HFC-245fa,"Fang et al., 2026",0.7,0.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2014,China,HFC-245fa,"Fang et al., 2026",0.8,0.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2015,China,HFC-245fa,"Fang et al., 2026",1.6,0.5,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2016,China,HFC-245fa,"Fang et al., 2026",1.2,0.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2017,China,HFC-245fa,"Fang et al., 2026",1.3,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2018,China,HFC-245fa,"Fang et al., 2026",1.9,0.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2019,China,HFC-245fa,"Fang et al., 2026",1.6,0.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2020,China,HFC-245fa,"Fang et al., 2026",1.9,0.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2021,China,HFC-245fa,"Fang et al., 2026",2.3,0.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2014,China,HFC-365mfc,"Yao et al., 2019",0.3,0.25,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-365mfc,"Yao et al., 2019",0.4,0.3,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-365mfc,"Yao et al., 2019",0.4,0.15,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-365mfc,"Yao et al., 2019",0.4,0.05,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-365mfc,"Fang et al., 2026",0.3,0.2,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2015,China,HFC-365mfc,"Fang et al., 2026",0.4,0.3,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2016,China,HFC-365mfc,"Fang et al., 2026",0.4,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2017,China,HFC-365mfc,"Fang et al., 2026",0.4,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2018,China,HFC-365mfc,"Fang et al., 2026",0.5,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2019,China,HFC-365mfc,"Fang et al., 2026",0.3,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2020,China,HFC-365mfc,"Fang et al., 2026",0.4,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2021,China,HFC-365mfc,"Fang et al., 2026",0.6,0.1,"Fang, X. et al. Estimation of hydrofluorocarbon emissions from China and other non-Annex I countries. Nat. Geosci. https://doi.org/10.1038/s41561-025-01908-9 (2026)."
2006,China,SF6,"Fang et al., 2014",1.43,0.25,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2007,China,SF6,"Fang et al., 2014",2.17,0.37,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2008,China,SF6,"Fang et al., 2014",2.39,0.41,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2009,China,SF6,"Fang et al., 2014",2.74,0.47,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2010,China,SF6,"Fang et al., 2014",2.55,0.44,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2011,China,SF6,"Fang et al., 2014",2.83,0.49,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2012,China,SF6,"Fang et al., 2014",2.87,0.49,"Fang, X. et al. Sulfur hexafluoride (SF6) emissions in East Asia determined by inverse modeling. Atmos. Chem. Phys. 14, 4779-4791 (2014)."
2023,Eastern China,CH3CCl3,"Jin et al., 2025",0.21,0.04,"Jin, S. et al. Emissions of Ozone-Layer-Depleting Methyl Chloroform (CH3CCl3) in China Inferred from High-Frequency In-Situ Observations. Environ. Sci. Technol. Lett. 12, 1340-1346 (2025)."
2024,Eastern China,CH3CCl3,"Jin et al., 2025",0.21,0.04,"Jin, S. et al. Emissions of Ozone-Layer-Depleting Methyl Chloroform (CH3CCl3) in China Inferred from High-Frequency In-Situ Observations. Environ. Sci. Technol. Lett. 12, 1340-1346 (2025)."
2023,China,CH3CCl3,"Jin et al., 2025",0.3,0.06,"Jin, S. et al. Emissions of Ozone-Layer-Depleting Methyl Chloroform (CH3CCl3) in China Inferred from High-Frequency In-Situ Observations. Environ. Sci. Technol. Lett. 12, 1340-1346 (2025)."
2024,China,CH3CCl3,"Jin et al., 2025",0.3,0.06,"Jin, S. et al. Emissions of Ozone-Layer-Depleting Methyl Chloroform (CH3CCl3) in China Inferred from High-Frequency In-Situ Observations. Environ. Sci. Technol. Lett. 12, 1340-1346 (2025)."
2011,China,CH3Br,"Hu et al., 2024",7.6,1.4,"Hu, X. et al. Unexplained high and persistent methyl bromide emissions in China. Nat. Commun. 15, 8901 (2024)."
2012,China,CH3Br,"Hu et al., 2024",6.2,1.1,"Hu, X. et al. Unexplained high and persistent methyl bromide emissions in China. Nat. Commun. 15, 8901 (2024)."
2013,China,CH3Br,"Hu et al., 2024",10.1,1.5,"Hu, X. et al. Unexplained high and persistent methyl bromide emissions in China. Nat. Commun. 15, 8901 (2024)."
2014,China,CH3Br,"Hu et al., 2024",10.5,1.4,"Hu, X. et al. Unexplained high and persistent methyl bromide emissions in China. Nat. Commun. 15, 8901 (2024)."
2015,China,CH3Br,"Hu et al., 2024",10,1.6,"Hu, X. et al. Unexplained high and persistent methyl bromide emissions in China. Nat. Commun. 15, 8901 (2024)."
2016,China,CH3Br,"Hu et al., 2024",10.3,1.6,"Hu, X. et al. Unexplained high and persistent methyl bromide emissions in China. Nat. Commun. 15, 8901 (2024)."
2017,China,CH3Br,"Hu et al., 2024",9.5,0.9,"Hu, X. et al. Unexplained high and persistent methyl bromide emissions in China. Nat. Commun. 15, 8901 (2024)."
2018,China,CH3Br,"Hu et al., 2024",10.1,1,"Hu, X. et al. Unexplained high and persistent methyl bromide emissions in China. Nat. Commun. 15, 8901 (2024)."
2019,China,CH3Br,"Hu et al., 2024",8.5,0.9,"Hu, X. et al. Unexplained high and persistent methyl bromide emissions in China. Nat. Commun. 15, 8901 (2024)."
2020,China,CH3Br,"Hu et al., 2024",9,0.9,"Hu, X. et al. Unexplained high and persistent methyl bromide emissions in China. Nat. Commun. 15, 8901 (2024)."
2008,Eastern China,CCl4,"Park et al., 2021",5.98,1.25,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2009,Eastern China,CCl4,"Park et al., 2021",6.87,1.26,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2010,Eastern China,CCl4,"Park et al., 2021",10.11,1.32,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2011,Eastern China,CCl4,"Park et al., 2021",5.63,1.4,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2012,Eastern China,CCl4,"Park et al., 2021",6.33,1.42,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2013,Eastern China,CCl4,"Park et al., 2021",9.86,1.4,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2014,Eastern China,CCl4,"Park et al., 2021",11.85,1.5,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2015,Eastern China,CCl4,"Park et al., 2021",11.68,2.16,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2016,Eastern China,CCl4,"Park et al., 2021",11.31,1.88,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2017,Eastern China,CCl4,"Park et al., 2021",8.8,1.73,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2018,Eastern China,CCl4,"Park et al., 2021",6.05,1.54,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2019,Eastern China,CCl4,"Park et al., 2021",6.31,1.05,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
